time,text,note,無力感,虛無感,災難化思考,壓抑防衛,自我矛盾,指責傾向,關係疏離,羞愧自責,生命價值崩解,備註
00:00,我最近真的提不起勁，什麼事情都懶得做。,,1,,,,,,,,,描述缺乏動力，初期的無力感。
00:06,一早醒來就覺得很沉重，好像又要開始一天的折磨了。,,1,,,,,,,,,描述起床後的負面感受，無力感。
00:14,我常常懷疑自己是不是根本不適合活在這個世界上。,講完後低頭沉默片刻,,1,,,,,,,1,開始懷疑生存的價值，觸及生命價值崩解的邊緣。
00:20,就算我努力了，好像也沒什麼改變，一點用都沒有。,,1,1,,,,,,,,努力無效的感覺，加深無力感和虛無感。
00:29,我怕別人覺得我很情緒化，所以都不敢講太多。,,,,,1,,,1,,,害怕展現情緒，屬於壓抑防衛，同時也暗示與他人有距離。
00:36,有時候真的不知道活著的意義是什麼，感覺好空。,長時間沉默，雙手緊握,,1,,,,,,,1,直接表達空虛感，再次觸及生命價值。
00:46,我越想振作就越覺得自己很爛，像個笑話一樣。,,1,,,,1,,,1,,想振作卻更自責，呈現自我矛盾，也存在羞愧感。
00:54,他們都說我是太敏感，可是我真的很受傷。,,,,,,,1,1,,,指責他人不理解自己，可能是關係疏離的徵兆。
01:01,如果我失去現在這份工作，我應該就完蛋了。,,,,1,,,,,,,對未來過度負面預期，屬於災難化思考。
01:09,大家都靠我，但我其實快撐不下去了。,聲音顫抖，語氣壓低,1,,,,,,,,,感受到壓力過大，呈現無力感。
01:18,我講了也沒人懂，還不如不講。,,1,,,,,1,1,,,語氣中帶有對他人的不信任感，認為溝通無效。
01:24,我一直笑，因為我不想讓人看到我崩潰。,小聲地笑了一下，但眼神空洞,,,1,1,,,,,,使用笑容掩蓋內心的崩潰，是典型的壓抑行為。可能存在災難化思考，害怕他人看到自己脆弱的一面。
01:32,我想要正常地生活，可是身體根本不聽使喚。,,1,,,,1,1,,,,內心渴望正常生活，但現實狀況卻無法配合，產生自我矛盾及對身體的不滿。
01:40,我不懂我到底在努力什麼，沒有目標也沒有方向。,,1,1,,,,,,,,強烈的虛無感和對未來的茫然，找不到生活的意義和方向。
01:48,是不是其實沒有人真的在乎我？,望向窗外，聲音輕到幾乎聽不見,,1,1,,,,1,,,對人際關係的質疑，可能源於過去的經驗或對自身價值的否定。也可能帶有災難化思考，預設他人不在乎自己。
01:54,有時候我會想，如果我就這樣消失了，會怎樣？,,,1,1,,,,1,,1,出現自殺意念，暗示對生命價值的懷疑，甚至崩解。需要高度關注。
02:01,我覺得我只是在撐場面，內心根本早就垮了。,,1,1,,1,,,,,,外在表現和內在感受不一致，內心已經崩潰，但仍然努力維持表面上的形象。
02:09,我不是不想好起來，只是我不知道要怎麼辦了。,坐姿前傾，低聲說,1,,,,,1,,,,想改變現狀但缺乏方法和資源，感受到強烈的無力感和求助無門。
